,Pathway,Reaction,Entity,Name,Type,Id,PrevId,Gene,Database,Role
0,R-HSA-196819,R-HSA-196761,R-HSA-196953,TPK1,EntityWithAccessionedSequence,Q9H3S4;,Q9H3S4,TPK1,UniProt,catalystActivity
1,R-HSA-196819,R-HSA-199626,R-HSA-199643,SLC19A3,EntityWithAccessionedSequence,Q9BZV2;,Q9BZV2,SLC19A3,UniProt,catalystActivity
2,R-HSA-196819,R-HSA-199626,R-HSA-199636,SLC19A2,EntityWithAccessionedSequence,O60779;,O60779,SLC19A2,UniProt,catalystActivity
3,R-HSA-196819,R-HSA-8875838,R-HSA-5215935,SLC25A19,EntityWithAccessionedSequence,Q9HC21;,Q9HC21,SLC25A19,UniProt,catalystActivity
4,R-HSA-196819,R-HSA-965067,R-HSA-964976,THTPA,EntityWithAccessionedSequence,Q9BU02;,Q9BU02,THTPA,UniProt,catalystActivity
