IL6R
IL6
JAK2
JAK1
TYK2
IL6ST
STAT3
STAT1
SOCS3
CBL
PTPN11
PIK3CB
PIK3CA
PIK3R2
PIK3R1
IRS2
IRS1
GAB2
GRB2
FLT3LG
FLT3
TLR9
PIK3C3
PIK3R4
FRS2
FGF9
FGF17
FGF8
FGF20
FGF18
FGF1
FGFR3
FGFR2
FGF10
FGF7
FGF3
FGF22
FGF2
FGFR1
FGF5
FGF6
FGF23
FGF4
FGFR4
FGF16
FGF19
KL
KLB
GAB1
MAP2K1
MAPK3
CDK1
REV1
PCNA
UBB
UBC
RPS27A
UBA52
RPA2
RPA3
RPA1
RFC3
RFC4
RFC5
RFC1
RFC2
REV3L
MAD2L2
POLD4
POLD3
POLD2
POLD1
POLE4
POLE3
POLE
POLE2
UBE2B
RAD18
DTL
CUL4B
CUL4A
RBX1
DDB1
USP1
WDR48
POLH
RCHY1
SPRTN
NPLOC4
UFD1L
VCP
UNG
TDG
SMUG1
MBD4
NTHL1
OGG1
NEIL1
NEIL2
NEIL3
POT1
H4C1
H2AC14
H2AC18
H2AC4
H2AC6
H2AC20
H2AJ
H2AFX
H2AC7
H2AZ2
H2AB1
H3-4
H2BC26
H2BC13
H2BC12
H2BC3
H2BC11
H2BC4
H2BC15
H2BC12L
H2BC17
H2BC21
H2BC9
H2BC5
H2BC1
H2BC14
TERF2
ACD
TERF2IP
TERF1
TINF2
MUTYH
MPG
APEX1
POLB
PARP1
PARP2
FEN1
PARG
LIG1
ADPRS
XRCC1
LIG3
SNRPD3
LSM11
SNRPB
SNRPG
LSM10
SNRPF
SNRPE
ZNF473
NCBP1
NCBP2
MAPK8
BCL2L11
DYNLL1
BAD
BID
BCL2
YWHAE
SFN
YWHAZ
YWHAB
YWHAG
YWHAH
YWHAQ
PPP3R1
PPP3CC
AKT1
AKT2
AKT3
PMAIP1
TP53
TFDP1
TFDP2
E2F1
BAK1
BCL2L1
BBC3
BMF
CYCS
GSDME
BAX
GSDMD
DIABLO
SEPTIN4
APAF1
CASP9
AVEN
APIP
CARD8
CASP3
XIAP
CASP7
PRKCQ
ROCK1
ACIN1
PTK2
FNTA
APC
BIRC2
PRKCD
STK26
BMX
CASP8
BCAP31
STK24
CLSPN
CASP6
SATB1
C1QBP
CDKN2A
OPRM1
PDYN
POMC
CREB1
PRKACA
PRKX
PRKACG
PRKACB
CAMK4
CALM1
KPNA2
CAMK2A
CAMK2B
CAMK2D
CAMK2G
CAMKK2
CAMKK1
GRK2
PRKCG
PRKCA
PDE1B
PDE1C
PDE1A
PLA2G4A
MAPK1
PLCB2
PLCB1
PLCB3
PLCB4
GNA14
GNAQ
GNA15
GNA11
ITPR2
ITPR1
ITPR3
AHCYL1
ALKBH2
ALKBH3
ASCC1
ASCC3
ASCC2
GJD2
GJC1
PANX2
PANX1
GJA10
CACNA2D2
CACNA2D1
CACNA2D3
CACNA1A
CACNB4
CACNG2
CACNA1B
CACNB3
CACNA1E
CACNB1
CACNB2
CACNG4
NAAA
ACHE
BCHE
SLC22A2
SLC22A1
HTR3A
GLRB
GLRA1
GLRA2
GLRA3
NBEA
HTR3D
HTR3E
HTR3B
HTR3C
ELOC
ELOB
ELOA2
ELOA
IWS1
SKIC8
LEO1
CDC73
PAF1
RTF1
CTR9
TCEA1
SUPT6H
ERCC2
CCNH
MNAT1
CDK7
GTF2H5
GTF2H1
GTF2H2
GTF2H3
ERCC3
GTF2H4
MLLT1
EAF2
CCNT2
CCNK
CCNT1
CDK9
MLLT3
AFF4
EAF1
CTDP1
SUPT5H
SUPT4H1
ELL
NELFB
NELFA
NELFE
NELFCD
GTF2F2
GTF2F1
POLR2A
POLR2G
POLR2J
POLR2I
POLR2D
POLR2H
POLR2F
POLR2L
POLR2C
POLR2K
POLR2E
POLR2B
SUPT16H
SSRP1
PEA15
DUSP5
DUSP16
DUSP2
DUSP1
DUSP8
DUSP10
DUSP4
DUSP6
DUSP7
DUSP9
MAP2K2
SOS1
HRAS
KRAS
NRAS
PPP2R1B
PPP2R1A
PPP2R3B
PPP2CA
PPP2CB
RB1
PRIM2
PRIM1
POLA2
POLA1
ORC6
ORC1
MCM8
ORC2
ORC4
ORC5
ORC3
CCNB1
RASGRP1
RASGRP2
PRKCE
PRKCH
TRPC6
TRPC7
TRPC3
DGKA
DGKB
DGKE
DGKZ
DGKH
DGKQ
DGKG
DGKI
DGKK
DGKD
PRKCB
STXBP3
STX4
LYN
GP6
FCER1G
FYN
PLCG2
SYK
CLEC1B
PDPN
PDPK1
LCP2
VAV3
VAV1
VAV2
LCK
LAT
PIK3CG
PIK3R6
PIK3R5
PIK3R3
PRKCZ
RHOG
RAC2
RAC1
CDC42
RHOA
RHOB
G6B
PTPN6
CALU
HSPA5
CHID1
PSAP
ABCC4
QSOX1
A1BG
TOR4A
GTPBP2
VTI1B
MAGED2
VEGFB
VEGFD
VEGFC
VEGFA
SCCPDH
PCYOX1L
ORM2
OLA1
PDGFB
PDGFA
AHSG
PPBP
ORM1
SERPINA3
FERMT3
ISLR
GAS6
APOOL
F8
THBS1
TEX264
CLU
ALDOA
SRGN
TIMP1
FGB
FGA
FGG
A2M
APP
SERPINA1
F13A1
TMSB4X
FN1
SERPINF2
F5
PF4
HGF
PROS1
ALB
LEFTY2
TGFB3
TGFB2
TGFB1
MMRN1
CFD
ACTN2
ACTN1
ACTN4
SPARC
HRG
PLG
SERPINE1
IGF2
IGF1
KNG1
SERPING1
EGF
NHLRC2
VWF
CYRIB
CLEC3B
CTSW
ITIH4
ECM1
RARRES2
FAM3C
LGALS3BP
TIMP3
ITIH3
SERPINA4
SELENOP
SPP2
APOH
CDC37L1
RAB27B
LAMP2
SELP
CD63
LY6G6F
LHFPL2
TMX3
CD36
CYB5R1
PHACTR2
CD9
PCDH7
PECAM1
ITGA2B
ITGB3
CD109
SYTL4
APLP2
SCG3
APOA1
TF
PLEK
TLN1
BRPF3
TAGLN2
ENDOD1
HABP4
WDR1
SOD1
TUBA4A
STXBP2
ANXA5
MANF
VCL
TTN
POTEKP
FLNA
PFN1
CFL1
CAP1
PPIA
RELA
NFKB1
REL
CARD11
MALT1
BCL10
MAP3K7
IKBKB
CHUK
IKBKG
NFKBIB
NFKBIE
NFKBIA
PSMA7
PSMD4
PSMB1
PSMD5
PSMB10
PSMD6
PSMD7
PSMB2
PSMD8
PSMB3
PSMD9
PSME1
PSMB4
PSME2
PSMB5
PSME3
PSMF1
PSMA8
PSMB6
PSMB7
PSME4
PSMB11
PSMB8
PSMB9
PSMC1
PSMC2
PSMC3
PSMC4
PSMC5
PSMC6
PSMD14
PSMD1
PSMA1
PSMD10
SEM1
PSMA2
PSMD11
PSMA3
PSMD12
PSMA4
PSMD13
PSMA5
PSMD2
PSMA6
PSMD3
BTRC
CUL1
SKP1
FBXW11
RASGRP3
ISG15
UBE2L6
HERC5
ARIH1
TRIM25
IRF3
UBA7
FLNB
NEDD4
UBE2N
UBE2E1
PPM1B
PLCG1
IFIT1
EIF2AK2
RIGI
MX1
MX2
NUP42
RANBP2
AAAS
NUP50
NUP54
NUP58
NUP62
NUP98
RAE1
SEH1L
NUP205
NUP155
NUP93
NUP35
POM121C
POM121
NUP210
NDC1
NUP214
NUP188
NUP88
NUP153
TPR
SEC13
NUP133
NUP85
NUP37
NUP160
NUP43
NUP107
KPNB1
KPNA5
KPNA7
KPNA3
KPNA1
KPNA4
USP18
USP41
EIF4E2
EIF4G1
EIF4G2
EIF4G3
EIF4A2
EIF4A1
EIF4A3
EIF4E
EIF4E3
PIN1
PRLR
CSH1
PRL
GH2
GH1
STAT5A
STAT5B
SH2B1
GHR
FURIN
PCSK6
NODAL
GDF1
ACVR1B
CFC1
TDGF1
TDGF1P3
ACVR2B
ACVR2A
ACVR1C
CER1
DAND5
LEFTY1
SMAD2
SMAD3
FOXH1
SMAD4
DRAP1
FOXO3
STAG3
STAG1
SMC1B
REC8
STAG2
SMC3
SMC1A
RAD21
SYCP2
SYCP3
LMNB1
SUN1
SYNE1
SYNE2
LMNA
SUN2
ATR
BRCA1
SYCE2
HSPA2
FKBP6
UBE2I
DIDO1
SYCE1
TEX12
SYCE3
SYCP1
LTF
ATP6V1A
ATP6V1B2
ATP6V1B1
ATP6V1G1
ATP6V1G2
