P08887
P05231
O60674
P23458
P29597
P40189
P40763
P42224
O14543
P22681
Q06124
P42338
P42336
O00459
P27986
Q9Y4H2
P35568
Q9UQC2
P62993
P49771
P36888
Q9NR96
Q8NEB9
Q99570
Q8WU20
P31371
O60258
P55075
Q9NP95
O76093
P05230
P22607
P21802
O15520
P21781
P11487
Q9HCT0
P09038
P11362
P12034
P10767
Q9GZV9
P08620
P22455
O43320
O95750
Q9UEF7
Q86Z14
Q13480
Q02750
P27361
P06493
Q9UBZ9
P12004
P0CG47
P0CG48
P62979
P62987
P15927
P35244
P27694
P40938
P35249
P40937
P35251
P35250
O60673
Q9UI95
Q9HCU8
Q15054
P49005
P28340
Q9NR33
Q9NRF9
Q07864
P56282
P63146
Q9NS91
Q9NZJ0
Q13620
Q13619
P62877
Q16531
O94782
Q8TAF3
Q9Y253
Q96PM5
Q9H040
Q8TAT6
Q92890
P55072
P13051
Q13569
Q53HV7
O95243
P78549
O15527
Q96FI4
Q969S2
Q8TAT5
Q9NUX5
P62805
Q99878
Q6FI13
P04908
Q93077
Q16777
Q9BTM1
P16104
P20671
Q71UI9
P0C5Y9
Q16695
Q8N257
Q99880
O60814
P33778
P06899
P62807
Q99877
P57053
P23527
Q16778
Q93079
P58876
Q96A08
Q99879
Q15554
Q96AP0
Q9NYB0
P54274
Q9BSI4
Q9UIF7
P29372
P27695
P06746
P09874
Q9UGN5
P39748
Q86W56
P18858
Q9NX46
P18887
P49916
P62318
P83369
P14678
P62308
Q969L4
P62306
P62304
Q8WTR7
Q09161
P52298
P45983
O43521
P63167
Q92934
P55957
P10415
P62258
P31947
P63104
P31946
P61981
Q04917
P27348
P63098
P48454
P31749
P31751
Q9Y243
Q13794
P04637
Q14186
Q14188
Q01094
Q16611
Q07817
Q9BXH1
Q96LC9
P99999
O60443
Q07812
P57764
Q9NR28
O43236
O14727
P55211
Q9NQS1
Q96GX9
Q9Y2G2
P42574
P98170
P55210
Q04759
Q13464
Q9UKV3
Q05397
P49354
P25054
Q13490
Q05655
Q9P289
P51813
Q14790
P51572
Q9Y6E0
